Headline ID,Body ID,Stance
3863,154,agree
3658,962,unrelated
4164,2033,unrelated
3018,1739,agree
3180,882,unrelated
3691,2327,discuss
3440,1468,agree
3467,2132,unrelated
3084,1500,unrelated
3656,633,agree
3046,56,unrelated
2871,1658,unrelated
3869,1157,discuss
2923,1040,unrelated
2735,534,unrelated
3455,1299,unrelated
3468,2248,unrelated
2806,1255,unrelated
3035,459,unrelated
2823,2295,unrelated
2866,181,unrelated
3207,816,unrelated
2923,2106,unrelated
2885,367,unrelated
3437,1934,unrelated
3518,1500,unrelated
3813,1338,unrelated
2900,527,unrelated
3959,2246,discuss
3048,1165,unrelated
3837,1374,unrelated
3218,1744,unrelated
3871,1406,unrelated
3016,775,unrelated
3111,2115,agree
2777,1966,unrelated
3607,2084,discuss
3045,2132,unrelated
3398,900,unrelated
3882,36,unrelated
4000,618,unrelated
3605,1509,discuss
2827,2168,discuss
3444,176,unrelated
3190,2132,unrelated
2868,2477,unrelated
2698,115,unrelated
3688,472,unrelated
3002,139,unrelated
3644,986,unrelated
3607,808,unrelated
4135,125,unrelated
3880,1401,discuss
3667,687,unrelated
4035,1627,unrelated
3218,2307,unrelated
2756,254,unrelated
2802,1627,unrelated
3034,296,unrelated
3069,2047,discuss
2731,2302,unrelated
2568,2061,agree
3286,1985,unrelated
3726,1987,discuss
2979,467,unrelated
3391,2045,unrelated
2588,1058,agree
3220,1081,discuss
3868,1355,unrelated
2566,971,unrelated
4007,1795,unrelated
3609,2492,unrelated
3096,2398,discuss
2610,2130,discuss
3718,1081,discuss
3441,908,unrelated
2995,2489,unrelated
3224,1586,unrelated
2741,2455,discuss
2584,1864,discuss
2744,1528,discuss
3931,1338,unrelated
3768,1403,disagree
3930,707,discuss
3999,2337,disagree
2537,2033,unrelated
3574,1693,unrelated
4172,2097,unrelated
4000,645,unrelated
3351,1155,unrelated
2955,1734,unrelated
2569,1780,discuss
2921,1400,discuss
3679,1020,unrelated
3156,1605,discuss
3682,1011,unrelated
2793,472,unrelated
3692,568,unrelated
2542,1148,agree
2544,2492,unrelated
4171,776,unrelated
4000,1349,agree
2884,2475,agree
4038,887,unrelated
3380,1242,unrelated
3755,105,unrelated
2732,2367,disagree
2885,1737,unrelated
3719,2003,discuss
3806,2260,unrelated
3218,105,unrelated
3396,1528,unrelated
3377,2356,discuss
3363,877,unrelated
2649,1439,unrelated
2902,1933,unrelated
3432,570,unrelated
3992,2188,discuss
3585,1372,unrelated
2729,1699,unrelated
2911,1846,disagree
3374,401,unrelated
3467,2407,agree
3531,2304,unrelated
4175,1702,unrelated
3832,108,discuss
3286,121,unrelated
3126,1949,agree
3419,1261,unrelated
3891,913,unrelated
3488,2156,agree
3075,366,discuss
3078,313,unrelated
3748,1301,unrelated
3890,1795,unrelated
3166,1314,discuss
3020,1234,unrelated
3528,986,disagree
3318,534,discuss
3836,467,unrelated
3592,1948,unrelated
2865,720,unrelated
