Headline ID,Body ID,Stance
2964,712,unrelated
4073,158,agree
2930,137,unrelated
3610,1034,unrelated
3740,1923,disagree
3439,1003,unrelated
3701,47,discuss
2910,2463,discuss
3164,570,unrelated
2533,608,discuss
2960,1681,discuss
3612,1545,unrelated
4016,1014,agree
3646,2327,unrelated
3688,132,unrelated
2703,1896,discuss
3148,2344,unrelated
2804,625,unrelated
3417,2176,unrelated
3600,394,discuss
3139,2161,agree
2731,1251,unrelated
2581,1337,unrelated
3954,280,unrelated
3157,213,unrelated
3777,1481,unrelated
2559,1592,agree
3082,1120,unrelated
2960,2045,unrelated
3077,2296,unrelated
3276,1905,disagree
3350,759,agree
2573,2406,unrelated
3079,2036,unrelated
3582,965,disagree
2985,105,unrelated
3867,703,discuss
3642,1175,unrelated
2949,1034,unrelated
4037,724,unrelated
2645,2441,agree
3801,2248,unrelated
3077,1040,unrelated
2637,32,discuss
2640,26,unrelated
3997,487,unrelated
3310,1089,agree
3281,205,unrelated
4055,190,unrelated
2906,1808,unrelated
3407,1315,agree
3124,1362,discuss
2695,2033,unrelated
3408,1125,unrelated
4034,1590,discuss
3894,2240,unrelated
4047,702,unrelated
3037,1720,unrelated
2693,1358,unrelated
2717,1832,unrelated
2927,2404,unrelated
2646,1832,unrelated
3751,1818,agree
2561,1958,agree
3065,2174,unrelated
4179,992,unrelated
2949,2526,unrelated
2884,731,unrelated
2723,2097,unrelated
3306,2045,unrelated
2862,1212,unrelated
3594,777,unrelated
3050,213,unrelated
3099,922,discuss
3049,1758,unrelated
4093,1681,unrelated
4134,40,unrelated
3098,949,agree
2654,488,agree
4161,2495,discuss
3677,821,unrelated
2603,1628,unrelated
3910,2237,unrelated
3069,1385,unrelated
2548,1125,unrelated
2718,2448,unrelated
2592,345,unrelated
2836,2087,unrelated
3663,2463,discuss
3887,2045,unrelated
2735,1661,discuss
3143,1899,unrelated
2708,1048,unrelated
2992,35,unrelated
3556,321,unrelated
3466,887,unrelated
3614,2336,discuss
3824,1818,discuss
3940,2045,unrelated
3948,1547,unrelated
3244,855,discuss
3567,689,unrelated
2670,2342,unrelated
4178,2149,unrelated
3901,2064,agree
3022,1363,unrelated
3473,313,disagree
3741,2046,agree
3661,1568,unrelated
3219,975,disagree
3732,2210,unrelated
2605,2081,unrelated
3887,1438,unrelated
3336,2531,unrelated
4082,1547,agree
2641,2290,unrelated
4102,320,unrelated
2903,1948,unrelated
2646,1720,unrelated
3505,271,unrelated
4113,1169,unrelated
3912,1574,unrelated
2538,2133,unrelated
2611,1242,unrelated
3381,2530,discuss
3080,1982,unrelated
2801,1107,unrelated
3750,775,unrelated
4168,1786,unrelated
2951,381,unrelated
2746,844,unrelated
2994,1471,discuss
3329,1949,unrelated
3511,214,unrelated
3269,1476,discuss
3590,1718,unrelated
2833,2293,discuss
3620,1104,unrelated
3017,1603,unrelated
3782,2206,agree
2691,1301,unrelated
3428,2269,unrelated
2760,678,unrelated
3023,639,unrelated
3090,874,unrelated
3496,1720,unrelated
3025,2327,unrelated
3627,403,unrelated
4087,720,unrelated
3511,1602,discuss
3860,1658,unrelated
2685,1786,unrelated
2916,666,agree
3881,734,unrelated
3406,1299,unrelated
3118,1093,discuss
3381,1603,unrelated
3820,1541,unrelated
2548,1372,unrelated
3514,1805,unrelated
3213,2127,unrelated
2816,1778,discuss
3199,1580,agree
3417,125,unrelated
3470,2453,unrelated
2655,511,unrelated
3764,1726,unrelated
4017,2177,unrelated
3641,1115,discuss
3055,773,unrelated
2557,2252,unrelated
2735,524,unrelated
4039,1988,unrelated
3924,2022,unrelated
3314,694,discuss
3708,1648,unrelated
3911,1125,unrelated
3814,1034,unrelated
3057,139,unrelated
4006,1854,discuss
3148,186,unrelated
3568,670,unrelated
3856,2288,unrelated
2661,2175,unrelated
2951,2403,discuss
3470,1471,discuss
3988,185,unrelated
4037,1321,disagree
2533,139,unrelated
3033,465,unrelated
3073,1943,agree
4039,2269,unrelated
3992,731,unrelated
3087,698,unrelated
4118,513,unrelated
3381,1883,unrelated
2805,1349,unrelated
3469,1004,discuss
2892,36,unrelated
3335,81,unrelated
3512,1580,unrelated
3894,43,unrelated
3972,2352,unrelated
2631,1489,unrelated
3441,831,unrelated
2961,1951,agree
3998,286,unrelated
3250,1347,unrelated
3091,1821,discuss
2613,826,unrelated
4140,344,unrelated
2803,1034,unrelated
3766,171,unrelated
2947,984,unrelated
3014,1950,unrelated
3359,487,unrelated
4134,715,discuss
3205,2287,unrelated
3881,964,unrelated
3232,690,unrelated
4020,1253,unrelated
3374,298,unrelated
3114,969,agree
3764,311,unrelated
3067,1803,unrelated
2837,1844,unrelated
3493,1968,discuss
4167,1009,unrelated
2813,2096,unrelated
3759,2287,unrelated
3507,1958,discuss
3341,1905,unrelated
2960,2139,disagree
3094,1888,unrelated
4087,1013,unrelated
3524,1547,unrelated
4071,2423,unrelated
2927,2388,discuss
3009,2078,unrelated
3547,1627,unrelated
2642,757,discuss
3946,1084,agree
2631,1958,agree
3243,2154,discuss
2688,1627,agree
3902,776,unrelated
2702,2061,unrelated
3348,1291,discuss
3134,1574,unrelated
3130,1631,unrelated
2697,1358,unrelated
2823,975,unrelated
2987,2000,discuss
4093,1934,unrelated
3674,1015,unrelated
2782,2313,unrelated
2553,646,unrelated
3887,527,unrelated
2693,1776,unrelated
4050,847,unrelated
4167,2081,unrelated
2752,1697,unrelated
2578,1658,unrelated
3867,2268,discuss
4027,265,unrelated
3972,730,unrelated
3179,2377,unrelated
2968,1362,discuss
3712,2374,discuss
3777,2141,unrelated
2598,2421,unrelated
3775,984,unrelated
3809,2341,discuss
2906,1803,unrelated
2548,1540,disagree
2703,1372,unrelated
2668,1374,agree
2629,487,unrelated
3425,993,unrelated
2875,1681,unrelated
3234,2356,discuss
3636,1572,unrelated
4179,2192,unrelated
4108,646,unrelated
3379,173,unrelated
2834,1221,unrelated
2572,2220,unrelated
3053,2273,discuss
2862,788,unrelated
3708,1347,unrelated
3099,2463,discuss
2793,2254,unrelated
4096,1299,unrelated
4153,61,unrelated
2716,1223,unrelated
2718,693,unrelated
4170,1681,unrelated
3977,1423,unrelated
3274,1029,unrelated
2776,2293,discuss
3368,922,discuss
2809,539,unrelated
4116,367,unrelated
2794,1213,agree
4043,2338,discuss
3919,2410,unrelated
3068,490,unrelated
3571,1256,unrelated
3496,1385,unrelated
2863,1349,unrelated
3670,2305,agree
3919,1002,unrelated
4148,1860,disagree
3105,2313,unrelated
3044,2225,disagree
2561,1575,unrelated
2810,520,unrelated
2800,1408,unrelated
3783,2377,discuss
3462,7,unrelated
3163,2344,unrelated
3499,1534,discuss
2775,1089,agree
3446,2367,unrelated
2835,2296,unrelated
2966,964,unrelated
3181,1790,discuss
3358,514,discuss
4156,2296,unrelated
3555,608,unrelated
3269,1959,agree
3028,633,unrelated
3729,458,agree
3418,2141,unrelated
2894,1380,agree
2844,1438,unrelated
3782,1360,unrelated
3176,125,unrelated
3525,2448,discuss
2803,2296,unrelated
2662,54,unrelated
3037,1008,agree
3598,1283,unrelated
2677,1787,unrelated
4058,1912,discuss
4153,621,unrelated
3213,26,unrelated
3458,2304,discuss
3812,1103,unrelated
3304,365,unrelated
3440,1875,unrelated
3471,1131,unrelated
4108,614,discuss
3503,2290,discuss
3170,1545,unrelated
3315,2520,discuss
4101,1574,unrelated
2916,742,discuss
3080,1471,discuss
4081,2213,unrelated
4078,2016,unrelated
3153,837,unrelated
3873,2424,agree
3151,220,unrelated
3350,2526,unrelated
2745,1481,unrelated
2660,761,unrelated
3639,2367,unrelated
3496,1574,unrelated
2985,962,unrelated
3670,1395,unrelated
3199,2450,agree
3558,171,unrelated
3536,1314,discuss
3773,1299,unrelated
2969,1003,unrelated
3821,26,unrelated
3472,1899,unrelated
3092,664,discuss
2560,2254,unrelated
3759,2130,unrelated
2613,2524,agree
3777,1289,unrelated
3360,1003,unrelated
3011,2307,unrelated
4177,2326,agree
3549,521,unrelated
2793,1857,unrelated
2798,1603,unrelated
3605,35,unrelated
4056,214,unrelated
3267,1547,unrelated
2998,345,unrelated
3187,1720,unrelated
2830,609,unrelated
2797,1358,unrelated
2711,1594,agree
3548,695,discuss
3371,803,unrelated
3988,2257,unrelated
2587,856,discuss
3596,213,unrelated
3518,1125,unrelated
2678,343,agree
2907,1831,agree
3372,1670,unrelated
3176,2314,unrelated
3318,524,unrelated
3926,720,unrelated
3950,322,unrelated
3804,1661,unrelated
2569,1346,discuss
3367,345,unrelated
4006,2141,unrelated
2966,993,unrelated
3168,321,agree
2797,524,unrelated
2731,1857,unrelated
3928,1738,discuss
3199,2404,unrelated
3874,1289,unrelated
2672,2202,discuss
3846,2367,discuss
2696,2096,unrelated
2607,2304,unrelated
2560,2236,discuss
3198,570,unrelated
4147,1187,discuss
3104,2097,unrelated
2548,1661,unrelated
2731,1120,unrelated
3548,2230,unrelated
2994,826,unrelated
2685,2526,unrelated
3928,271,unrelated
3304,858,unrelated
2570,1002,unrelated
2671,1249,discuss
2616,2115,unrelated
4121,1921,unrelated
3507,773,unrelated
2615,1605,unrelated
2838,2079,discuss
2596,1143,unrelated
3258,731,unrelated
4070,2141,unrelated
3118,2067,agree
3012,887,unrelated
3993,456,discuss
3077,26,unrelated
2539,40,unrelated
3497,1916,discuss
3010,1380,agree
4161,2109,unrelated
3682,2477,unrelated
3069,1009,unrelated
3280,1820,unrelated
3822,345,unrelated
3199,115,unrelated
2983,2129,unrelated
3470,1385,unrelated
3758,1349,unrelated
3435,2134,agree
3938,734,unrelated
3952,2268,discuss
4028,1547,unrelated
3528,1271,unrelated
3804,2530,discuss
2947,1948,discuss
3707,1372,unrelated
3523,2472,unrelated
3469,2360,unrelated
2830,2525,discuss
3291,483,discuss
3326,365,unrelated
3743,2519,unrelated
2547,1339,unrelated
3200,600,discuss
3577,1485,agree
2646,1921,unrelated
3462,2450,agree
2632,634,unrelated
3314,139,unrelated
4081,1268,unrelated
2739,1863,unrelated
3318,757,unrelated
4090,714,unrelated
3606,1289,unrelated
4111,456,unrelated
2548,2530,discuss
2724,530,unrelated
3682,2265,discuss
2675,1157,unrelated
3851,1660,unrelated
3665,458,disagree
2836,1554,agree
4028,578,discuss
2927,2372,unrelated
4022,1627,unrelated
2950,2192,discuss
3584,1268,unrelated
4026,1642,unrelated
3926,267,unrelated
3974,2129,unrelated
3777,844,unrelated
3993,2130,unrelated
3017,1438,unrelated
3289,2102,discuss
3099,1681,discuss
3270,900,unrelated
2539,2314,unrelated
2848,204,unrelated
4161,1093,discuss
2743,1361,unrelated
3904,186,unrelated
2711,40,unrelated
2646,1385,unrelated
3143,1004,unrelated
2873,2147,discuss
3518,2330,unrelated
3150,258,unrelated
3414,35,unrelated
3021,2060,discuss
3017,1125,unrelated
3153,1549,unrelated
3957,2045,unrelated
2792,542,unrelated
3442,1099,discuss
2716,662,unrelated
2970,1968,unrelated
3642,1589,unrelated
3735,1660,unrelated
2829,267,unrelated
3802,1891,discuss
2867,1048,unrelated
3824,450,unrelated
3784,34,unrelated
4101,1575,unrelated
2803,1857,discuss
2805,524,unrelated
2611,1742,disagree
3058,706,unrelated
3818,2477,unrelated
3270,693,discuss
4075,107,unrelated
3957,821,unrelated
3100,2489,discuss
4066,2452,discuss
2743,1658,agree
2994,1024,unrelated
3261,2060,agree
3490,2531,discuss
2875,1948,unrelated
2646,7,unrelated
3895,2411,unrelated
3729,2455,discuss
3318,1900,unrelated
2978,1545,agree
2533,1295,unrelated
2967,862,agree
3521,2284,unrelated
2755,1125,unrelated
2543,831,unrelated
3893,117,discuss
3408,1192,discuss
4093,1948,unrelated
2778,1957,discuss
2971,1330,discuss
3439,1883,unrelated
3199,2070,unrelated
3277,2477,unrelated
2752,125,unrelated
2646,2317,discuss
3237,1984,discuss
2681,2344,unrelated
3360,40,unrelated
3911,1896,discuss
2755,2472,unrelated
3583,1125,unrelated
2823,2327,discuss
3932,456,unrelated
3501,2362,agree
3670,2370,unrelated
4145,686,unrelated
2731,2304,unrelated
3141,1178,unrelated
2941,26,agree
3877,483,unrelated
3636,2116,unrelated
2624,1289,unrelated
3787,115,unrelated
3469,2175,unrelated
3079,936,unrelated
4087,1821,unrelated
3030,1233,discuss
3677,2127,unrelated
3349,2091,unrelated
3449,1656,unrelated
3441,522,discuss
2533,1358,unrelated
3484,1225,unrelated
3230,1481,unrelated
